,marka,model,rodzaj-pojazdu,podrodzaj-pojazdu,pochodzenie-pojazdu,sposob-produkcji,rok-produkcji,data-pierwszej-rejestracji-w-kraju,data-ostatniej-rejestracji-w-kraju,data-rejestracji-za-granica,pojemnosc-skokowa-silnika,moc-netto-silnika,masa-wlasna,liczba-miejsc-ogolem,rodzaj-paliwa,kierownica-po-prawej-stronie,rejestracja-wojewodztwo
82,PEUGEOT,308,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2011,2019-09-02,2019-09-02,2011-07-25,1560.0,82.0,1485,7.0,OLEJ NAPĘDOWY,,WIELKOPOLSKIE
83,CHEVROLET,MATIZ,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2007,2019-09-02,2019-09-02,2007-09-11,796.0,38.0,850,5.0,BENZYNA,,WIELKOPOLSKIE
84,VOLVO,V50,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2005,2019-09-02,2019-09-02,2005-10-17,1560.0,80.0,1408,5.0,OLEJ NAPĘDOWY,,WIELKOPOLSKIE
85,VOLVO,XC40,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1477.0,120.0,1505,5.0,BENZYNA,,WIELKOPOLSKIE
86,FORD,FIESTA,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2012,2019-09-02,2019-09-02,2012-07-02,1596.0,88.0,1054,5.0,BENZYNA,,WIELKOPOLSKIE
87,KIA,SPORTAGE,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1591.0,130.0,1470,5.0,BENZYNA,,WIELKOPOLSKIE
88,VOLKSWAGEN,GOLF,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,1998,2019-09-02,2019-09-02,1998-08-18,1595.0,74.0,1192,5.0,BENZYNA,,WIELKOPOLSKIE
89,VOLKSWAGEN,PASSAT,SAMOCHÓD OSOBOWY,KARETA (SEDAN),UŻYW. IMPORT INDYW,FABRYCZNY,2006,2019-09-02,2019-09-02,2006-08-23,1595.0,75.0,1418,5.0,BENZYNA,,WIELKOPOLSKIE
90,SKODA,OCTAVIA,SAMOCHÓD OSOBOWY,KARETA (SEDAN),UŻYW. IMPORT INDYW,FABRYCZNY,2007,2019-09-02,2019-09-02,2007-02-27,1598.0,85.0,1340,5.0,BENZYNA,,WIELKOPOLSKIE
91,VOLKSWAGEN,TOURAN,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2012,2019-09-02,2019-09-02,2012-05-05,1598.0,77.0,1539,5.0,OLEJ NAPĘDOWY,,WIELKOPOLSKIE
92,SKODA,OCTAVIA,SAMOCHÓD OSOBOWY,KARETA (SEDAN),NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1598.0,85.0,1308,5.0,OLEJ NAPĘDOWY,,WIELKOPOLSKIE
93,MAZDA,6,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2009,2019-09-02,2019-09-02,2009-10-01,1999.0,108.0,1355,5.0,BENZYNA,,WIELKOPOLSKIE
