,marka,model,rodzaj-pojazdu,podrodzaj-pojazdu,pochodzenie-pojazdu,sposob-produkcji,rok-produkcji,data-pierwszej-rejestracji-w-kraju,data-ostatniej-rejestracji-w-kraju,data-rejestracji-za-granica,pojemnosc-skokowa-silnika,moc-netto-silnika,masa-wlasna,liczba-miejsc-ogolem,rodzaj-paliwa,kierownica-po-prawej-stronie,rejestracja-wojewodztwo
88,VOLKSWAGEN,PASSAT,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2016,2019-09-03,2019-09-03,2016-03-10,1968.0,110.0,1503,5.0,OLEJ NAPĘDOWY,,OPOLSKIE
89,MERCEDES-BENZ,CLS 350 CDI,SAMOCHÓD OSOBOWY,KARETA (SEDAN),UŻYW. IMPORT INDYW,FABRYCZNY,2009,2019-09-03,2019-09-03,2009-09-11,2987.0,165.0,1815,4.0,OLEJ NAPĘDOWY,,OPOLSKIE
90,VOLKSWAGEN,POLO,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2010,2019-09-03,2019-09-03,2010-04-08,1390.0,63.0,1104,5.0,BENZYNA,,OPOLSKIE
91,HONDA,CIVIC,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2016,2019-09-03,2019-09-03,2016-03-30,1339.0,73.0,1255,5.0,BENZYNA,,OPOLSKIE
92,AUDI,Q3,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2017,2019-09-03,2019-09-03,2017-05-16,1968.0,110.0,1680,5.0,OLEJ NAPĘDOWY,,OPOLSKIE
93,VOLKSWAGEN,GOLF,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2013,2019-09-03,2019-09-03,2013-09-30,1598.0,77.0,1410,5.0,OLEJ NAPĘDOWY,,OPOLSKIE
94,SKODA,FABIA,SAMOCHÓD OSOBOWY,HATCHBACK,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-03,2019-09-03,,999.0,44.0,1052,5.0,BENZYNA,,OPOLSKIE
95,HYUNDAI,I20,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2011,2019-09-03,2019-09-03,2011-11-16,1248.0,57.2,1045,5.0,BENZYNA,,OPOLSKIE
96,RENAULT,,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2005,2019-09-03,2019-09-03,2006-03-14,1598.0,82.0,1250,5.0,BENZYNA,,OPOLSKIE
97,AUDI,A4,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2011,2019-09-03,2019-09-03,2011-09-01,1968.0,105.0,1630,5.0,OLEJ NAPĘDOWY,,OPOLSKIE
98,JAGUAR,XF,SAMOCHÓD OSOBOWY,KARETA (SEDAN),UŻYW. IMPORT INDYW,FABRYCZNY,2017,2019-09-03,2019-09-03,2017-07-11,1999.0,132.0,1713,5.0,OLEJ NAPĘDOWY,,OPOLSKIE
99,VOLKSWAGEN,GOLF 1.9 TDI,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2005,2019-09-03,2019-09-03,2005-02-02,1896.0,66.0,1362,5.0,OLEJ NAPĘDOWY,,OPOLSKIE
100,DACIA,SANDERO,SAMOCHÓD OSOBOWY,HATCHBACK,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-03,2019-09-03,,898.0,66.0,1085,5.0,BENZYNA,,OPOLSKIE
101,SKODA,OCTAVIA 1.6,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,1997,2019-09-03,2019-09-03,1997-11-06,1598.0,55.0,1260,5.0,BENZYNA,,OPOLSKIE
102,FORD,KUGA,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2009,2019-09-03,2019-09-03,2009-04-28,1997.0,100.0,1573,5.0,OLEJ NAPĘDOWY,,OPOLSKIE
